town	district_code	total_budget	average_salary	fte
Abington	10000	$11,881,609 	$94,149 	126.2
Acton	6000000	$34,234,578 	$89,246 	383.6
Boxborough	6000000	$34,234,578 	$89,246 	383.6
Acushnet	30000	$5,173,481 	$73,383 	70.5
Agawam	50000	$25,960,018 	$84,533 	307.1
Amesbury	70000	$13,587,070 	$81,751 	166.2
Amherst	80000	$9,664,620 	$80,338 	120.3
Amherst	6050000	$9,628,651 	$85,588 	112.5
Pelham	6050000	$9,628,651 	$85,588 	112.5
Andover	90000	$44,045,945 	$91,896 	479.3
Arlington	100000	$35,811,485 	$81,650 	438.6
Ashburnham-Westminster	6100000	$11,631,430 	$71,534 	162.6
Ashland	140000	$16,908,571 	$83,540 	202.4
Assabet Valley Regional Vocational Technical	8010000	$9,051,274 	$78,434 	115.4
Athol-Royalston	6150000	$7,415,511 	$66,567 	111.4
Attleboro	160000	$34,080,752 	$88,775 	383.9
Auburn	170000	$14,401,589 	$77,553 	185.7
Avon	180000	$5,343,108 	$78,345 	68.2
Ayer Shirley School District	6160000	$9,403,905 	$70,600 	133.2
Barnstable	200000	$33,421,064 	$85,128 	392.6
Bedford	230000	$23,190,429 	$97,644 	237.5
Belchertown	240000	$12,575,818 	$74,501 	168.8
Bellingham	250000	$13,329,518 	$82,383 	161.8
Belmont	260000	$27,455,202 	$96,334 	285
Berkley	270000	$4,565,839 	$72,704 	62.8
Berkshire Hills	6180000	$9,081,789 	$79,805 	113.8
Berlin-Boylston	6200000	$6,832,032 	$76,764 	89
Beverly	300000	$26,942,167 	$80,233 	335.8
Billerica	310000	$34,272,836 	$92,504 	370.5
Blackstone Valley Regional Vocational Technical	8050000	$8,537,741 	$82,442 	103.6
Blackstone	6220000	$9,027,012 	$77,485 	116.5
Millville	6220000	$9,027,012 	$77,485 	116.5
Blue Hills Regional Vocational Technical	8060000	$7,834,589 	$92,172 	85
Boston	350000	$463,706,080 	$105,235 	4,406.40
Bourne	360000	$12,374,661 	$86,901 	142.4
Boxford	380000	$5,259,132 	$80,910 	65
Braintree	400000	$38,022,824 	$89,698 	423.9
Brewster	410000	$3,588,352 	$81,739 	43.9
Bridgewater	6250000	$29,820,743 	$88,568 	336.7
Raynham	6250000	$29,820,743 	$88,568 	336.7
Brimfield	430000	$2,017,768 	$79,754 	25.3
Bristol County Agricultural	9100000	$2,615,403 	$74,301 	35.2
Bristol-Plymouth Regional Vocational Technical	8100000	$9,848,246 	$93,242 	105.6
Brockton	440000	$101,393,356 	$98,853 	1,025.70
Brookfield	450000	$1,768,587 	$78,256 	22.6
Brookline	460000	$66,497,541 	$100,041 	664.7
Burlington	480000	$31,354,718 	$100,657 	311.5
Cambridge	490000	$68,760,281 	$94,947 	724.2
Canton	500000	$21,785,975 	$88,417 	246.4
Cape Cod Regional Vocational Technical	8150000	$5,222,361 	$89,119 	58.6
Carlisle	510000	$5,755,682 	$104,270 	55.2
Carver	520000	$9,050,631 	$71,209 	127.1
Central Berkshire	6350000	$9,626,224 	$78,646 	122.4
Chelmsford	560000	$30,008,538 	$81,214 	369.5
Chelsea	570000	$31,508,729 	$74,843 	421
Chesterfield	6320000	$1,094,093 	$78,150 	14
Goshen	6320000	$1,094,093 	$78,150 	14
Chicopee	610000	$46,708,928 	$80,297 	581.7
Clarksburg	630000	$1,093,760 	$76,487 	14.3
Clinton	640000	$10,711,446 	$73,517 	145.7
Cohasset	650000	$10,451,607 	$94,670 	110.4
Concord	670000	$18,777,033 	$107,852 	174.1
Concord-Carlisle	6400000	$11,453,783 	$110,665 	103.5
Conway	680000	$966,562 	$76,711 	12.6
Danvers	710000	$23,232,527 	$87,538 	265.4
Dartmouth	720000	$22,498,972 	$82,263 	273.5
Dedham	730000	$21,888,036 	$92,785 	235.9
Deerfield	740000	$2,579,727 	$69,347 	37.2
Dennis-Yarmouth	6450000	$21,950,994 	$81,000 	271
Dighton-Rehoboth	6500000	$17,568,494 	$79,966 	219.7
Douglas	770000	$7,075,010 	$70,821 	99.9
Dover	780000	$3,763,108 	$93,146 	40.4
Dover-Sherborn	6550000	$10,648,707 	$102,886 	103.5
